Fecha,Gasolina Regular,Gasolina Super,Diesel,Gas Licuado
2008-11-01,238626.16,375438.69,688104.11,230092.62
2008-12-01,298245.47,463343.73,778953.84,245852.65
2009-01-01,273494.16,424264.5,800526.47,217372.42
2009-02-01,254667.7,424438.71,795050.51,212038.24
2009-03-01,290343.28,434248.69,865981.57,235475.32
2009-04-01,290887.08,454265.4,822109.74,209739.17
2009-05-01,276970.67,432401.49,770687.28,221884.47
2009-06-01,252551.99,393140.38,703815.55,221329.63
2009-07-01,283142.05,435256.09,740868.09,241510.2
2009-08-01,267830.84,409182.96,692376.7,232174.11
2009-09-01,248994.42,420238.71,687435.1,225886.43
2009-10-01,269008.52,421753.29,775739.56,235899.13
2009-11-01,212149.9,391754.81,738678.65,232172.83
2009-12-01,296805.29,449842.29,891670.41,215923.38
2010-01-01,243341.49,389068.41,777741.34,228078.62
2010-02-01,248207.93,391195.69,807692.1,214409.69
2010-03-01,320985.41,465664.59,1017058.18,242081.59
2010-04-01,254872.61,387063.18,762770.01,216150.67
2010-05-01,238903.31,381811.18,721668.18,215523.54
2010-06-01,251896.39,385981.1,683236.54,226415.07
2010-07-01,278700.49,422481.8,721584.6,243063.35
2010-08-01,268917.79,410176.39,695796.33,245908.42
2010-09-01,266975.25,396429.75,687553.88,233404.9
2010-10-01,275031.21,418305.07,745415.51,236852.35
2010-11-01,273452.94,409652.73,785917.4,255841.85
2010-12-01,320807.17,466766.78,843762.0,251825.2
2011-01-01,285089.04,411737.33,850696.79,244328.91
2011-02-01,269301.38,391131.1,819940.5,228479.0
2011-03-01,281453.75,393160.91,900485.91,255792.92
2011-04-01,285598.37,386749.27,797527.23,237582.68
2011-05-01,253277.88,371876.75,803849.53,247975.28
2011-06-01,290137.49,380800.43,729676.79,247082.28
2011-07-01,279283.36,389294.64,718255.06,259033.89
2011-08-01,256380.27,408494.51,699736.08,259688.74
2011-09-01,256728.25,380453.23,660384.93,251882.54
2011-10-01,242071.01,381309.5,672214.93,262255.14
2011-11-01,231413.83,381871.84,794507.24,252218.21
2011-12-01,291678.03,449904.1,862318.8,263892.43
2012-01-01,261933.68,393781.94,814956.72,242524.9
2012-02-01,253733.22,402633.55,848067.25,243810.95
2012-03-01,290286.65,429534.5,925065.27,270906.08
2012-04-01,262615.28,389264.02,792201.73,249493.66
2012-05-01,235374.04,405877.41,771542.47,261657.41
2012-06-01,261012.58,409111.24,712464.94,255333.43
2012-07-01,233061.35,420370.6,699130.04,271101.94
2012-08-01,259165.94,433828.02,716720.36,280184.27
2012-09-01,228205.77,378478.8,632120.37,268875.1
2012-10-01,261347.22,414523.22,728414.88,297829.17
2012-11-01,272657.82,394751.47,812523.44,303422.01
2012-12-01,310407.04,442191.43,848262.93,281757.56
2013-01-01,287985.59,408557.45,863769.41,291844.0
2013-02-01,259659.66,361215.69,808853.97,253221.89
2013-03-01,313075.45,413744.86,898352.2,286869.62
2013-04-01,330070.65,409238.3,966103.92,287216.3
2013-05-01,313131.36,403354.79,827601.25,301770.53
2013-06-01,287596.64,402012.07,775187.12,275921.37
2013-07-01,314185.61,425154.22,732544.52,292790.1
2013-08-01,288400.67,416968.15,773147.9,282844.32
2013-09-01,249357.42,379479.78,672125.16,278403.42
2013-10-01,314518.72,430179.69,800049.12,285195.01
2013-11-01,306638.45,404692.46,821457.45,253022.23
2013-12-01,339969.85,448135.35,860351.9,282335.47
2014-01-01,312139.77,412617.93,917251.54,288260.8
2014-02-01,312142.65,385430.58,890362.31,304312.13
2014-03-01,335869.63,434863.96,1004937.39,284201.43
2014-04-01,349155.3,437470.07,972039.42,250902.83
2014-05-01,332737.37,427487.2,877263.31,305911.84
2014-06-01,303016.82,387299.1,733508.7,285640.44
2014-07-01,344659.64,439137.13,826918.81,289827.6
2014-08-01,326356.06,442953.1,793694.01,272617.6
2014-09-01,371327.13,411466.28,728498.84,271079.59
2014-10-01,343812.67,459922.48,836278.12,337006.14
2014-11-01,343918.56,436467.9,885713.74,303666.7
2014-12-01,464223.15,538899.26,1021378.09,311419.96
2015-01-01,419102.72,503135.7,1014706.21,317220.91
2015-02-01,398167.69,454190.88,980149.84,315364.36
2015-03-01,457246.14,521879.26,1142551.06,338142.32
2015-04-01,413451.11,486779.41,1011167.74,320920.88
2015-05-01,415570.95,483594.83,944316.66,328177.8
2015-06-01,414466.18,480892.11,880016.47,331140.05
2015-07-01,440729.53,515322.66,902586.36,363251.96
2015-08-01,439588.9,513413.0,887796.85,333215.61
2015-09-01,422826.59,501658.04,734654.22,364351.76
2015-10-01,448971.88,532741.14,834285.95,364469.55
2015-11-01,423841.82,516486.95,925431.0,353643.08
2015-12-01,499839.17,600161.72,1047478.84,355233.65
2016-01-01,433180.34,545737.53,1084043.63,346512.22
2016-02-01,450916.35,540459.19,1055672.64,368867.55
2016-03-01,486255.94,575720.92,1107296.65,372223.42
2016-04-01,467472.2,545605.47,1149175.19,357084.22
2016-05-01,468710.38,551000.79,1019984.4,377629.02
2016-06-01,450758.18,537583.25,888538.1,355848.99
2016-07-01,465270.48,562778.84,883716.04,350429.77
2016-08-01,485995.83,585748.5,866270.02,363859.51
2016-09-01,456946.75,548491.65,877800.56,356426.23
2016-10-01,476277.64,573754.73,916410.7,373503.78
2016-11-01,463726.21,547323.53,1019671.97,372904.63
2016-12-01,524242.31,615251.51,1113827.1,372690.46
2017-01-01,477291.93,546212.16,1079270.01,358758.75
2017-02-01,453665.32,526888.94,1052556.49,357547.08
2017-03-01,523942.36,592249.34,1216427.85,351880.79
2017-04-01,500063.03,530345.96,1032827.15,360994.5
2017-05-01,516884.37,588861.62,1034780.31,377542.43
2017-06-01,478491.95,549378.05,897446.61,378389.98
2017-07-01,521730.41,607702.7,939029.31,369996.24
2017-08-01,514086.57,604650.34,950239.62,385885.05
2017-09-01,492618.55,560892.67,894271.09,378419.91
2017-10-01,512762.32,583658.83,935799.33,393901.93
2017-11-01,510631.29,563345.61,1038710.52,409448.29
2017-12-01,574097.7,635423.76,1117771.11,404702.23
2018-01-01,528763.3,581802.98,1121366.69,421908.5
2018-02-01,502041.67,545210.01,1086695.37,379325.61
2018-03-01,571052.13,618402.18,1210112.73,415196.54
2018-04-01,526979.67,565665.72,1123268.6,370475.49
2018-05-01,544395.17,570129.66,1017695.32,403130.05
